wordform,occurence_count,document_count
seadus,5950,2975
ja,1178,918
Eesti,726,324
Vabariigi,577,337
ratifitseerimise,472,469
Euroopa,442,174
seadustik,249,249
vahelise,218,204
kaitse,210,105
protokolli,206,98
lepingu,195,186
valitsuse,192,89
ning,166,159
konventsiooni,164,156
Riigilõivuseadus,161,161
selle,150,74
kohta,140,66
Maksukorralduse,129,129
ühinemise,126,126
sõlmitud,120,38
Tulumaksuseadus,113,113
Alkoholi-,107,107
elektriaktsiisi,107,107
kütuse-,107,107
tubaka-,107,107
tõkestamise,107,103
Tsiviilkohtumenetluse,99,99
aasta,98,81
vahel,98,47
vältimise,84,81
poolt,82,28
Kriminaalmenetluse,81,81
Sotsiaalhoolekande,81,81
topeltmaksustamise,81,78
Ravikindlustuse,78,78
Kohtute,78,39
Läti,76,36
hoidumise,75,72
maksudest,75,72
Rahvusvahelise,74,74
korraldamise,73,73
Sotsiaalmaksuseadus,71,71
Leedu,70,33
Tööturuteenuste,69,69
konventsiooniga,68,66
juurde,66,33
Krediidiasutuste,63,63
Liidu,62,57
Tervishoiuteenuste,61,61
Väärtpaberituru,59,59
kokkuleppe,58,56
Karistusseadustik,55,55
nende,54,27
Kogumispensionide,51,51
Kuningriigi,51,36
Liiklusseadus,49,49
Ravimiseadus,47,47
muutmise,47,47
Äriseadustik,47,47
Riikliku,46,46
rakendamise,46,45
Täitemenetluse,44,44
Veeseadus,44,44
rahvusvahelise,43,40
Politsei,42,42
Relvaseadus,42,42
korralduse,42,42
piirivalve,42,42
omavalitsuse,42,41
Käibemaksuseadus,41,41
pensionikindlustuse,40,40
tulu-,40,39
Välismaalaste,39,39
Ühinenud,39,13
Töölepingu,38,38
Töötuskindlustuse,38,38
Vedelkütuse,38,38
Kindlustustegevuse,36,36
Kohaliku,36,36
Valitsuse,36,31
Soome,36,17
Kaitseväeteenistuse,35,35
käsitleva,34,33
kuuluva,33,33
vastastikuse,33,33
seotud,33,11
Notariaadiseadus,32,32
ohutuse,31,31
Jäätmeseadus,30,30
represseeritud,30,10
Elektrituruseadus,29,29
Elektroonilise,29,29
Keskkonnatasude,29,29
side,29,29
Meresõiduohutuse,28,28
heakskiitmise,28,28
tulumaksudega,28,28
liikmesriikide,28,27
nr,28,23
Rootsi,28,14
Seadus,28,14
Taani,28,13
Avaliku,27,27
Riigi,27,27
Perehüvitiste,26,26
Põhikooli-,26,26
gümnaasiumiseadus,26,26
soodustamise,26,26
Laeva,26,13
Poola,26,12
seadustiku,25,22
Erakooliseadus,24,24
Perekonnaseisutoimingute,24,24
Riigikogu,24,24
investeeringute,24,24
üldosa,24,24
Organisatsiooni,24,23
salastatud,24,8
Haagi,24,6
Tolliseadus,23,23
protokolliga,23,23
riigieelarve,23,23
Võlaõigusseadus,22,22
rahastamise,22,22
terrorismi,22,22
Norra,22,10
Prokuratuuriseadus,21,21
Rahapesu,21,21
Tubakaseadus,21,21
teenistuse,21,21
kapitalimaksuga,21,20
lisaprotokolli,21,20
Nõukogu,20,20
koostöö,20,19
põhikirja,20,19
Ameerika,20,10
Ungari,20,9
Itaalia,20,8
Taimekaitseseadus,19,19
Töötervishoiu,19,19
tööohutuse,19,19
või,19,16
Halduskohtumenetluse,18,18
vabakaubanduslepingu,18,16
Austria,18,9
Toote,18,9
Ukraina,18,9
Tšehhi,18,8
muundatud,18,6
Atmosfääriõhu,17,17
Investeerimisfondide,17,17
Lennundusseadus,17,17
Turvaseadus,17,17
Vangistusseadus,17,17
Välisõhu,17,17
Väärteomenetluse,17,17
laenulepingu,17,17
muudatuste,17,17
valimise,17,17
Karistusregistri,16,16
Majandustegevuse,16,16
dokumentide,16,16
Islandi,16,6
Arengupanga,15,15
Kaitseliidu,15,15
Kohtutäituri,15,15
Maagaasiseadus,15,15
Pankrotiseadus,15,15
kapitalimaksudega,15,15
kasutamise,15,15
Balti,15,14
Investeerimispanga,15,14
põhjustatud,15,4
Finantsinspektsiooni,14,14
Hasartmänguseadus,14,14
Kinnistusraamatuseadus,14,14
Sadamaseadus,14,14
isiku,14,14
lisaeelarve,14,14
võtmise,14,14
asutamise,14,13
Luksemburgi,14,7
Saksamaa,14,7
Rumeenia,14,6
Slovaki,14,6
Sloveenia,14,6
kahju,14,6
Šveitsi,14,6
Hädaolukorra,13,13
Rahvaste,13,13
Rahvastikuregistri,13,13
Rekonstrueerimis-,13,13
Tööorganisatsiooni,13,13
asutuste,13,13
lõpetamise,13,13
staatuse,13,13
teiselt,13,13
tunnustamise,13,13
tõendavate,13,13
tulumaksuga,13,11
seaduse,13,10
Isikut,12,12
Makseasutuste,12,12
Presidendi,12,12
Raudteeseadus,12,12
Riigihangete,12,12
e-raha,12,12
kokkuleppega,12,12
laevaregistrite,12,12
lipuõiguse,12,12
Ühisveevärgi,12,12
ainete,12,11
Föderatsiooni,12,9
Vene,12,8
Geneetiliselt,12,6
Hispaania,12,6
Suurbritannia,12,6
alusel,12,6
eest,12,6
Bulgaaria,12,5
Horvaatia,12,5
Küprose,12,5
Malta,12,5
karistatud,12,4
Halduskoostöö,11,11
ILO,11,11
Kalapüügiseadus,11,11
Lõhkematerjaliseadus,11,11
Piiriülese,11,11
Riiklike,11,11
Toiduseadus,11,11
osalemise,11,11
Ühendriikide,11,11
ühise,11,11
Põhja-Atlandi,11,10
Põhjamaade,11,10
riikide,11,9
Alkoholiseadus,10,10
Asjaõigusseadus,10,10
Audiitortegevuse,10,10
Ehitusseadus,10,10
Ehitusseadustik,10,10
Maamaksuseadus,10,10
Parlamendi,10,10
Perekonnaseadus,10,10
Riigieelarve,10,10
Riigisaladuse,10,10
Söödaseadus,10,10
lepinguga,10,10
muudatuse,10,10
peretoetuste,10,10
rahvusvaheliste,10,10
sotsiaalkindlustuslepingu,10,10
Õiguskantsleri,10,10
hindamise,10,9
Belgia,10,5
Kanada,10,5
Kreeka,10,5
Moldova,10,5
Täiskasvanute,10,5
Türgi,10,5
Abieluvararegistri,9,9
Advokatuuriseadus,9,9
Loomakaitseseadus,9,9
NSV,9,9
Ohvriabi,9,9
Okupatsioonirežiimide,9,9
Puuetega,9,9
Päästeteenistuse,9,9
Riigipiiri,9,9
Tuleohutuse,9,9
denonsseerimise,9,9
inimeste,9,9
põllumajanduspoliitika,9,9
töökorra,9,9
Ühelt,9,9
Ülikooliseadus,9,9
õigusabi,9,9
automatiseeritud,9,3
lihtsustatud,9,3
lähetatud,9,3
organiseeritud,9,3
võõrandatud,9,3
Ühendatud,9,3
Biotsiidiseadus,8,8
Inimõiguste,8,8
Isikuandmete,8,8
Julgeolekuasutuste,8,8
Kaitseväe,8,8
Liitvabariigi,8,8
Loomatauditõrje,8,8
Maaparandusseadus,8,8
Maapõueseadus,8,8
Riigikontrolli,8,8
asutamislepingu,8,8
erastamise,8,8
kodaniku,8,8
korra,8,8
kriminaalasjades,8,8
käitlemise,8,8
käsitlevate,8,8
liikme,8,8
mõistmise,8,8
paljundamise,8,8
riikliku,8,8
sotsiaaltoetuste,8,8
välisteabe,8,8
Õppetoetuste,8,8
Ühistranspordiseadus,8,8
õppelaenu,8,8
Prantsuse,8,7
järelevalve,8,7
kauglevi,8,7
Albaania,8,4
Genfi,8,4
Gruusia,8,4
Hiina,8,4
Läänemere,8,4
Pariisi,8,4
Portugali,8,4
Singapuri,8,4
Valla-,8,4
aluste,8,4
korral,8,4
laste,8,4
lõike,8,4
registri,8,4
sisse-,8,4
suhtes,8,4
toimega,8,4
Valgevene,8,3
programmi,8,3
Elektriohutusseadus,7,7
Euro,7,7
Keeleseadus,7,7
Konsulaarseadus,7,7
Masina,7,7
Metsaseadus,7,7
Päästeseadus,7,7
Põllumajandusloomade,7,7
Spordiseadus,7,7
Suurhertsogiriigi,7,7
Taimede,7,7
Veterinaarkorralduse,7,7
Väljasõidukohustuse,7,7
ametipalkade,7,7
eesõiguste,7,7
isikute,7,7
kasutusele,7,7
kauba,7,7
konventsioonide,7,7
lahendamise,7,7
lõppaktide,7,7
määruse,7,7
nõuetele,7,7
nõustumise,7,7
protokollidega,7,7
puutumatuse,7,7
sissesõidukeelu,7,7
sordikaitse,7,7
vara,7,7
vastavuse,7,7
Ühenduse,7,7
Ülemaailmse,7,7
õhusaaste,7,7
ühinemist,7,7
ebaseadusliku,7,6
Ühenduste,7,6
Kosmoseagentuuri,7,3
Aatomienergiaühenduse,6,6
Abipolitseiniku,6,6
Estonia,6,6
Jahiseadus,6,6
Kohtuekspertiisiseadus,6,6
Korrakaitseseadus,6,6
Küttegaasi,6,6
Lepingu,6,6
Liikluskindlustuse,6,6
Maailma,6,6
Meediateenuste,6,6
Mittetulundusühingute,6,6
Muinsuskaitseseadus,6,6
Noorsootöö,6,6
Notari,6,6
Pakendiseadus,6,6
Postiliidu,6,6
Raamatupidamise,6,6
Rakkude,6,6
Riigivaraseadus,6,6
Teadus-,6,6
Teeseadus,6,6
Töövõimetoetuse,6,6
Väetiseseadus,6,6
Välisteenistuse,6,6
abi,6,6
ajutise,6,6
andmise,6,6
arendustegevuse,6,6
aretuse,6,6
artikli,6,6
elundite,6,6
keelustamise,6,6
kodu-,6,6
kohtumenetluse,6,6
kudede,6,6
memorandumi,6,6
mitmepoolse,6,6
protokollide,6,6
põhivabaduste,6,6
reguleerimise,6,6
riigikaitse,6,6
siirdamise,6,6
sõpruse,6,6
Vabariigis,6,5
arendamise,6,5
kongressi,6,5
tegevuse,6,5
Ekspordi,6,3
Fondi,6,3
Hollandi,6,3
Iirimaa,6,3
Jaapani,6,3
Laste,6,3
Surma,6,3
ekspordi,6,3
impordi,6,3
kontrolli,6,3
muude,6,3
Atlandi,6,2
Rooma,6,2
muudetud,6,2
olnud,6,2
tehtud,6,2
tekitatud,6,2
täiendatud,6,2
Kalandusturu,5,5
Kinnisasja,5,5
Korteriomandi-,5,5
Lifti,5,5
Läänemeres,5,5
Maaelu,5,5
Montreali,5,5
Planeerimisseadus,5,5
Postiseadus,5,5
Põhiseaduslikkuse,5,5
Rahuaja,5,5
Reklaamiseadus,5,5
Strateegilise,5,5
Surveseadme,5,5
Töötajate,5,5
Väärismetalltoodete,5,5
ametihüve,5,5
ennetamise,5,5
erimärgistamise,5,5
garantiilepingu,5,5
haridusseadus,5,5
immuniteetide,5,5
keskkonda,5,5
kohustuste,5,5
kompenseerimise,5,5
korteriühistuseadus,5,5
köistee,5,5
leping,5,5
lepingute,5,5
loomise,5,5
maksude,5,5
millega,5,5
määramise,5,5
nõukogu,5,5
organismide,5,5
piiramise,5,5
privileegide,5,5
põllumajandusturu,5,5
raamkonventsiooni,5,5
tasu,5,5
teabe,5,5
vastu,5,5
viimise,5,5
volikogu,5,5
vägivalda,5,5
väljaandmise,5,5
väljaveo,5,5
õiguse,5,5
õigussuhete,5,5
õiguste,5,5
ühenduste,5,5
ühtlustamise,5,5
üleandmise,5,5
endise,5,4
kohaliku,5,4
lisade,5,4
põllumajanduse,5,4
relvajõudude,5,4
teadus-,5,4
töötingimuste,5,4
Autoveoseadus,4,4
Bioloogilise,4,4
Eluruumide,4,4
Kaevandamisseadus,4,4
Kaubandustegevuse,4,4
Kemikaaliseadus,4,4
Kohalike,4,4
Komisjoni,4,4
Konföderatsiooni,4,4
Kriminaalhooldusseadus,4,4
Kutseõppeasutuse,4,4
Kyoto,4,4
Liiduga,4,4
Madalmaade,4,4
Mahepõllumajanduse,4,4
Meditsiiniseadme,4,4
Mõõteseadus,4,4
Nimeseadus,4,4
Osoonikihti,4,4
Panga,4,4
Perioodi,4,4
Pärimisseadus,4,4
Rahvavabariigi,4,4
Rahvusringhäälingu,4,4
Rahvusvaheliste,4,4
Riigikaitseseadus,4,4
Riigiteenistujate,4,4
Sihtasutuste,4,4
Tarbijakaitseseadus,4,4
Telekommunikatsiooni,4,4
Terrorismi,4,4
Tsiviilseadustiku,4,4
Turismiseadus,4,4
Tõestamisseadus,4,4
Välisriigi,4,4
ametinimetuste,4,4
assotsieerimislepingu,4,4
assotsieerumislepingu,4,4
eraõiguse,4,4
isikkoosseisu,4,4
kahandavate,4,4
kohaldatava,4,4
koodeks,4,4
koolituse,4,4
koostööst,4,4
kuritegevuse,4,4
leviku,4,4
linnaeelarve,4,4
lisa,4,4
maksupettuste,4,4
omandamise,4,4
palgaastmestiku,4,4
psühhotroopsete,4,4
põllumajandustoodete,4,4
raha,4,4
sanktsiooni,4,4
tagamise,4,4
tagastamise,4,4
teenuste,4,4
teiste,4,4
tema,4,4
toimimise,4,4
tsiviil-,4,4
täitmise,4,4
vastase,4,4
vastuvõtmise,4,4
võitlemise,4,4
Õigusabi,4,4
ÜRO,4,4
ühelt,4,4
kinnitamise,4,3
käiva,4,3
liitumiseelse,4,3
maaelu,4,3
ohustava,4,3
paranduste,4,3
peakorteri,4,3
Ühendust,4,3
Araabia,4,2
Austraalia,4,2
Cartagena,4,2
Hongkongi,4,2
Iiri,4,2
India,4,2
Investeerimispanka,4,2
Kasahstani,4,2
Kohtu,4,2
Kohtulikult,4,2
Lissaboni,4,2
Makedoonia,4,2
Montenegro,4,2
NATO,4,2
Nagoya,4,2
Narva,4,2
Serbia,4,2
Tai,4,2
Tallinna,4,2
Tööstusheite,4,2
Vietnami,4,2
Viini,4,2
alast,4,2
alusetult,4,2
fondi,4,2
kohtu,4,2
koosseisu,4,2
kriisilahendusfondi,4,2
neile,4,2
neis,4,2
nimel,4,2
poole,4,2
programmis,4,2
Baseli,4,1
Beltides,4,1
Arengu,3,3
Asjaõigusseaduse,3,3
Cotonou,3,3
EL,3,3
Eestis,3,3
Eestisse,3,3
Ettevõtluse,3,3
EÜ,3,3
Intellektuaalse,3,3
Jälitustegevuse,3,3
Kaitsekolledži,3,3
Kasuliku,3,3
Kaubamärgiseadus,3,3
Kaugkütteseadus,3,3
Kaupade,3,3
Keskkonnamõju,3,3
Keskkonnavastutuse,3,3
Kiirgusseadus,3,3
Kommertspandiseadus,3,3
Konkurentsiseadus,3,3
Konventsiooni,3,3
Konverentsi,3,3
Korruptsiooni,3,3
Kutseseadus,3,3
Kõrgemate,3,3
Lastekaitseseadus,3,3
Looduskaitseseadus,3,3
Loovisikute,3,3
Maakatastriseadus,3,3
Majanduspiirkonnas,3,3
Meretöö,3,3
Narkootiliste,3,3
Omandi,3,3
Patendiseadus,3,3
Pornograafilise,3,3
Põhja-Iiri,3,3
Põhja-Iirimaa,3,3
Rahvahääletuse,3,3
Rahvatervise,3,3
Rakenduskõrgkooli,3,3
Reisipraam,3,3
Riigivastutuse,3,3
Telekommunikatsiooniseadus,3,3
Tulundusühistuseadus,3,3
Tunnistajakaitse,3,3
Tööstusomandi,3,3
Valuutafondi,3,3
Välissuhtlemisseadus,3,3
Võlaõigusseaduse,3,3
alase,3,3
allakirjutatud,3,3
arestimise,3,3
deklaratsiooni,3,3
detsembri,3,3
distsiplinaarvastutuse,3,3
hankimise,3,3
hüvitamise,3,3
isikule,3,3
julmust,3,3
järvede,3,3
kahjustava,3,3
kaotamise,3,3
katastroofiga,3,3
kaubanduse,3,3
kauplemise,3,3
kitsendamise,3,3
kliimamuutuste,3,3
kohaldamise,3,3
kohtlemise,3,3
kolmanda,3,3
kooskõlastamise,3,3
koosseisus,3,3
koostööd,3,3
kriminaalõigusliku,3,3
kutsekvalifikatsiooni,3,3
kõrvaldamise,3,3
laekuva,3,3
laenulepinguga,3,3
laevade,3,3
lennuliikluse,3,3
liikmete,3,3
loomeliitude,3,3
maksmise,3,3
meretöö,3,3
mitmeaastase,3,3
mitmekesisuse,3,3
moodustamise,3,3
mudeli,3,3
muudetakse,3,3
nimetatavate,3,3
osa,3,3
osaliste,3,3
otsuste,3,3
pataljoni,3,3
patentide,3,3
piirikontrolli,3,3
piirkonna,3,3
positsioonidele,3,3
propageerivate,3,3
purustava,3,3
põhiseaduse,3,3
põhjuse,3,3
pöördumise,3,3
raudteeveo,3,3
reeglite,3,3
registreerimise,3,3
riigiametnike,3,3
riigiteenijate,3,3
sellega,3,3
sisseveo,3,3
sisuga,3,3
staatust,3,3
statuudi,3,3
struktuuritoetuse,3,3
tavarelvade,3,3
teise,3,3
teoste,3,3
territooriumil,3,3
tingimuste,3,3
toetamise,3,3
tsiviillennunduse,3,3
tsiviilseadustiku,3,3
tsiviilvastutuse,3,3
tunnistamise,3,3
tuvastamise,3,3
täiendava,3,3
täitemenetluse,3,3
töö,3,3
töötajate,3,3
töötamisõigusega,3,3
töötlemisel,3,3
vabastamise,3,3
vaheline,3,3
vastastikusest,3,3
vastutuse,3,3
vägede,3,3
vähendamise,3,3
Äriregistri,3,3
Ühendkuningriigi,3,3
Ülemäärase,3,3
õhuseirevõrgu,3,3
õhuvedude,3,3
õigusabist,3,3
üksuste,3,3
üldkokkuleppe,3,3
Liidunõukogu,3,2
Pataljoni,3,2
energiaharta,3,2
esindab,3,2
haridus-,3,2
kes,3,2
keskkonnamõju,3,2
konverentsi,3,2
kultuuri-,3,2
lepingule,3,2
rahastuslepingu,3,2
tehnoloogia-alase,3,2
Avatud,3,1
Eesõigustatud,3,1
Kariibi,3,1
Kasutatud,3,1
Marubeni,3,1
Parandatud,3,1
Seotud,3,1
Tekkinud,3,1
antud,3,1
arvatud,3,1
assotsieerunud,3,1
asutatud,3,1
jäänud,3,1
kadunuks,3,1
koostatud,3,1
liitunud,3,1
lisatud,3,1
loata,3,1
loodud,3,1
neid,3,1
ohustatud,3,1
okupeerinud,3,1
omandatud,3,1
parandatud,3,1
sooritatud,3,1
standardi,3,1
suletud,3,1
sundvõõrandatud,3,1
surnuks,3,1
tegutsenud,3,1
teinud,3,1
tulnud,3,1
täitunud,3,1
uuendatud,3,1
vabastatud,3,1
Ühistatud,3,1
AB,2,2
Aatomienergiaagentuuri,2,2
Alaealise,2,2
Ametiühingute,2,2
Andmekogude,2,2
Arhiiviseadus,2,2
Autoriõiguse,2,2
Bosnia-Hertsegoviinas,2,2
EAEC,2,2
EFTA,2,2
Endise,2,2
Endiste,2,2
Erakonnaseadus,2,2
Erakorralise,2,2
Eraõiguse,2,2
Etendusasutuse,2,2
Fääri,2,2
Haldusreformi,2,2
Hasartmängumaksu,2,2
Hoiuste,2,2
Hooneühistuseadus,2,2
Hüdrograafiaorganisatsiooni,2,2
IX,2,2
Intellektuaalset,2,2
Investeeringute,2,2
Jalgpallivõistluste,2,2
Jäätmete,2,2
Kasutamise,2,2
Kaubamärgiõiguse,2,2
Kaubandusliku,2,2
Kaubandusorganisatsiooni,2,2
Keemiarelvade,2,2
Keskkonnainfo,2,2
Keskkonnaseadustiku,2,2
Keskkonnaseire,2,2
Kirde-Atlandi,2,2
Kirikute,2,2
Kodakondsuse,2,2
Kohanimeseadus,2,2
Kollektiivse,2,2
Koostöö,2,2
Korruptsioonivastane,2,2
Krediidiandjate,2,2
Kriminaalkohtu,2,2
Kultuuriväärtuste,2,2
Laevade,2,2
Lapse,2,2
Liitlasvägede,2,2
Loomade,2,2
Ltd,2,2
Maa,2,2
Maareformi,2,2
Majandusvööndi,2,2
Majandusühenduse,2,2
Meresõitu,2,2
Mereteenistuse,2,2
Mereväedivisjoni,2,2
Merinõuete,2,2
Meteoroloogiasatelliitide,2,2
Molekulaarbioloogia,2,2
Muuseumiseadus,2,2
Märkide,2,2
Nõukogude,2,2
Osamaksete,2,2
Partnerlus,2,2
Piinamise,2,2
Piiriveekogude,2,2
Planeerimis-,2,2
Püsiasustusega,2,2
Raadiosidebüroo,2,2
Rahvusraamatukogu,2,2
Rahvusvahelisel,2,2
Ringhäälinguseadus,2,2
Saastuse,2,2
Saneerimisseadus,2,2
Seadmete,2,2
Soolise,2,2
Sotsialistliku,2,2
Svensk,2,2
Söe-,2,2
Tagatisfondi,2,2
Teataja,2,2
Teenetemärkide,2,2
Tehnilise,2,2
Terasekoondise,2,2
Terviseorganisatsiooni,2,2
Tollitariifiseadus,2,2
Tsiviil-,2,2
Tuumamaterjali,2,2
Tööstusdisainilahenduste,2,2
VII,2,2
VIII,2,2
Vabakaubandust,2,2
Vandetõlgi,2,2
Välismaalasele,2,2
Väljateenitud,2,2
Väärtpaberite,2,2
XII,2,2
aastate,2,2
aktide,2,2
alandava,2,2
arvelevõtmise,2,2
arvessevõtmise,2,2
asjus,2,2
asutamiskonventsiooni,2,2
augusti,2,2
avastamise,2,2
biomeditsiini,2,2
direktiivi,2,2
dokumendi,2,2
ebainimliku,2,2
edastamise,2,2
ehitusseadus,2,2
energiatõhususe,2,2
erakorralise,2,2
eraldamise,2,2
esindajate,2,2
esitamise,2,2
fakultatiivprotokolli,2,2
fakultatiivse,2,2
filmialase,2,2
finantsabi,2,2
finantseerimislepingu,2,2
füüsilise,2,2
garanteerimise,2,2
garantiilepinguga,2,2
haldusjaotuse,2,2
harta,2,2
hoonete,2,2
hävitamist,2,2
hüvitise,2,2
inimõiguste,2,2
intresside,2,2
invaliidsus-,2,2
jalaväerühma,2,2
juhtimissüsteemi,2,2
juuni,2,2
juurdekasvu,2,2
juurdekuuluva,2,2
juurdepääsu,2,2
jäätmete,2,2
kaadamisest,2,2
kaasamise,2,2
kaastootmise,2,2
kahjulike,2,2
kaitset,2,2
kaitsmise,2,2
kalanduskoostöö,2,2
kapitali,2,2
karistamise,2,2
kasumi,2,2
kasutatavate,2,2
kaubandust,2,2
kaupade,2,2
keelustava,2,2
kehtestamise,2,2
kehtetuks,2,2
keskkonnaasjade,2,2
keskkonnajuhtimissüsteemi,2,2
keskregistri,2,2
kindlaksmääramise,2,2
kindlustusperioodide,2,2
klassifikatsiooni,2,2
koguduste,2,2
kogumise,2,2
kokkulepete,2,2
kokkupuutepunkti,2,2
kompleksse,2,2
konfiskeerimise,2,2
konsulaarkonventsiooni,2,2
kontrollimise,2,2
koodeksi,2,2
koostöökokkuleppe,2,2
koostöölepingu,2,2
koostööriigi,2,2
korrarikkumisi,2,2
kriminaaltulu,2,2
kultuuriväärtuste,2,2
kättesaadavuse,2,2
küsimusi,2,2
laenude,2,2
likvideerimise,2,2
lisaprotokollidega,2,2
loomsete,2,2
lähteainete,2,2
maa,2,2
maksuga,2,2
maksumuse,2,2
maksustamise,2,2
merealapiiride,2,2
merekeskkonna,2,2
merereostuse,2,2
meresõidu,2,2
mereõiguse,2,2
muid,2,2
muu,2,2
muutmisdokumentide,2,2
mõjutusvahendite,2,2
nõudva,2,2
nõuete,2,2
ohtlike,2,2
ohutu,2,2
omandit,2,2
organisatsioonide,2,2
osalevate,2,2
osalisriikide,2,2
paigutamise,2,2
pankrotivarast,2,2
parandamise,2,2
pealtvaatajate,2,2
pensioni,2,2
pensionide,2,2
perekonna-,2,2
perelepitusteenuse,2,2
pidamise,2,2
protseduuri,2,2
puudutava,2,2
puudutavaid,2,2
pädevuse,2,2
põhineva,2,2
põllumajanduses,2,2
püsiplatvorme,2,2
rahastamist,2,2
rahu,2,2
rahvusvahelistes,2,2
rakenduskokkuleppega,2,2
riigi,2,2
riigilipu,2,2
riigipiiri,2,2
riigivapi,2,2
riiklike,2,2
rikkuva,2,2
saadustega,2,2
saarte,2,2
seaduste,2,2
seisukorra,2,2
septembril,2,2
sotsiaalkindlustusskeemide,2,2
sotsiaalmaksust,2,2
spordiürituste,2,2
stabiilsusmehhanismi,2,2
stabiliseerimisjõududes,2,2
statistika,2,2
sundvõõrandamise,2,2
surmanuhtluse,2,2
suunamise,2,2
säilitamise,2,2
taotluste,2,2
teabevahetuse,2,2
teenuse,2,2
tegemise,2,2
tehnoloogiakoostöö,2,2
teine,2,2
teineteisemõistmise,2,2
territooriumi,2,2
toetuste,2,2
toitjakaotushüvitiste,2,2
tootmist,2,2
tsiviilmissioonil,2,2
tulevase,2,2
turismi,2,2
tõendamise,2,2
tõhustamise,2,2
töö-,2,2
tööorganisatsiooni,2,2
töötüli,2,2
usaldusisiku,2,2
vahetamise,2,2
vajalike,2,2
valitsustevahelisest,2,2
valmisoleku,2,2
vanadus-,2,2
varumist,2,2
vastamise,2,2
väikesaarte,2,2
välislaenude,2,2
välisriikides,2,2
välistamise,2,2
väärtpaberite,2,2
võrdõiguslikkuse,2,2
Ühendemiraatide,2,2
Ülemnõukogu,2,2
Ülikool-Instituudi,2,2
Ülikooli,2,2
õiguskorralduse,2,2
õigusvastaselt,2,2
ühinemiseks,2,2
ühiskasutusse,2,2
ühistransiidi,2,2
ühtse,2,2
ühtsesse,2,2
üksuse,2,2
üldsuse,2,2
ülekandmise,2,2
ülemeremaadele,2,2
üleühenduselise,2,2
Aafrika,2,1
Armeenia,2,1
Aserbaidžaani,2,1
Ateena,2,1
Berni,2,1
Bosnia,2,1
Budapesti,2,1
Credit,2,1
Euraasia,2,1
Eurimages,2,1
Eurocontroli,2,1
Europoli,2,1
Exportkrediti,2,1
IRENA,2,1
Iisraeli,2,1
Industries,2,1
Jugoslaavia,2,1
Kaitse,2,1
Kopenhaageni,2,1
Korea,2,1
Kura,2,1
Liidust,2,1
Londoni,2,1
Madridi,2,1
Makse-,2,1
Maroko,2,1
Marrakeši,2,1
Mauritiuse,2,1
Mees-,2,1
Mehhiko,2,1
NEFCO,2,1
Paldiski,2,1
Protokolli,2,1
Pühade,2,1
Rail,2,1
Rotterdami,2,1
Saksa,2,1
Tadžikistani,2,1
Tartu,2,1
Tingimisi,2,1
UNIFIL,2,1
Uruguay,2,1
Usbekistani,2,1
Vara,2,1
Varssavi,2,1
Venemaa,2,1
abinõude,2,1
alused,2,1
alustest,2,1
arvu,2,1
ebaseaduslikult,2,1
finantsmehhanismi,2,1
inimväärikust,2,1
jaoks,2,1
kaitseks,2,1
kalavarude,2,1
kohtulikult,2,1
kohtute,2,1
kohtuväliselt,2,1
kokku,2,1
korda,2,1
krooni,2,1
käigus,2,1
kõrgema,2,1
lahe,2,1
maal,2,1
marsruudi,2,1
mille,2,1
milles,2,1
muul,2,1
naftareostuskahjude,2,1
naiste,2,1
nendega,2,1
nendeks,2,1
nendele,2,1
nendes,2,1
normi,2,1
nõude,2,1
ohutust,2,1
omaniku,2,1
piiriülese,2,1
proovi,2,1
puhul,2,1
punkti,2,1
põllumajandusprotokolli,2,1
risti,2,1
rände,2,1
seksuaalse,2,1
seonduvalt,2,1
seoses,2,1
sisse,2,1
sobimatu,2,1
tagastamisnõude,2,1
